InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
315526,SKU_1663,Backpack,4,20-01-24,94.86,20795,Belgium,0.14,Bank Transfer,8.85,Furniture,In-store,Not Returned,Royal Mail,London,Low
171135,SKU_1551,Notebook,47,20-01-24,50.8,74148,Germany,0.49,Credit Card,22.17,Furniture,In-store,Not Returned,FedEx,Berlin,Medium
768800,SKU_1288,Headphones,18,20-01-24,44.59,88234,Germany,0.18,Credit Card,8.57,Stationery,In-store,Not Returned,FedEx,Amsterdam,Medium
897721,SKU_1136,Headphones,18,20-01-24,57.98,33436,Belgium,0.46,Credit Card,11.67,Stationery,In-store,Not Returned,Royal Mail,Berlin,Low
471488,SKU_1489,Blue Pen,18,20-01-24,40.77,41341,United States,0.43,paypall,8.64,Accessories,Online,Not Returned,FedEx,Amsterdam,Medium
735856,SKU_1688,Wall Clock,-45,20-01-24,-5.37,,United Kingdom,1.449033192681167,Bank Transfer,,Accessories,Online,Not Returned,UPS,,Low
411322,SKU_1066,Notebook,36,20-01-24,70.95,27436,United Kingdom,0.06,paypall,27.27,Apparel,In-store,Not Returned,UPS,Rome,High
301769,SKU_1150,Backpack,19,20-01-24,60.41,12214,Norway,0.49,Credit Card,27.71,Furniture,Online,Not Returned,FedEx,Rome,Low
166500,SKU_1980,USB Cable,47,20-01-24,39.02,93489,Sweden,0.38,Credit Card,11.53,Apparel,Online,Not Returned,FedEx,Amsterdam,High
574694,SKU_1277,Office Chair,5,20-01-24,55.9,15327,Spain,0.14,paypall,5.78,Furniture,Online,Not Returned,FedEx,Amsterdam,High
479928,SKU_1839,Blue Pen,32,20-01-24,29.48,59815,United Kingdom,0.39,Bank Transfer,11.03,Accessories,Online,Not Returned,Royal Mail,Amsterdam,Low
935655,SKU_1211,Office Chair,40,20-01-24,51.25,66797,United Kingdom,0.08,Bank Transfer,25.61,Accessories,Online,Not Returned,DHL,Rome,Low
531585,SKU_1845,Notebook,5,20-01-24,84.3,93438,United Kingdom,0.44,Bank Transfer,18.7,Furniture,In-store,Not Returned,FedEx,Rome,Medium
769544,SKU_1349,White Mug,43,20-01-24,11,79274,Norway,0.2,Credit Card,8.28,Apparel,Online,Not Returned,Royal Mail,Berlin,Low
692771,SKU_1627,USB Cable,30,20-01-24,55.6,94379,United Kingdom,0.47,Credit Card,21.2,Stationery,Online,Not Returned,FedEx,Amsterdam,High
339883,SKU_1647,White Mug,38,20-01-24,82.23,66102,United States,0.2,Credit Card,18.85,Accessories,In-store,Not Returned,Royal Mail,Amsterdam,Medium
564990,SKU_1146,Headphones,45,20-01-24,85.08,38252,United Kingdom,0.07,paypall,8.63,Apparel,Online,Not Returned,FedEx,Berlin,High
481322,SKU_1364,Backpack,47,20-01-24,1.06,41521,Australia,0.21,Bank Transfer,22.38,Electronics,Online,Not Returned,Royal Mail,Amsterdam,Medium
768516,SKU_1677,White Mug,16,20-01-24,34.54,89642,Norway,0.04,Bank Transfer,27.08,Furniture,In-store,Not Returned,UPS,Berlin,Low
495627,SKU_1227,USB Cable,12,20-01-24,63.41,38591,France,0.32,Bank Transfer,23.71,Stationery,Online,Not Returned,FedEx,Berlin,Medium
377818,SKU_1645,Headphones,2,20-01-24,56.04,13382,Germany,0.12,paypall,16.61,Accessories,Online,Not Returned,DHL,Berlin,High
732995,SKU_1691,Headphones,17,20-01-24,53.28,38374,United Kingdom,0.5,Bank Transfer,7.4,Furniture,In-store,Not Returned,Royal Mail,London,Low
168460,SKU_1289,Headphones,-11,20-01-24,-4.75,,United States,1.0336560776867083,paypall,,Furniture,Online,Not Returned,DHL,,High
624864,SKU_1329,Wireless Mouse,44,21-01-24,37.2,55114,Belgium,0.48,Credit Card,5.38,Electronics,In-store,Not Returned,Royal Mail,Paris,High
245713,SKU_1862,T-shirt,22,21-01-24,61.51,14616,Netherlands,0.16,Credit Card,17.38,Apparel,Online,Not Returned,UPS,Paris,Medium
320899,SKU_1394,T-shirt,9,21-01-24,30.52,37381,Norway,0.16,Bank Transfer,24.35,Electronics,In-store,Returned,FedEx,Paris,Low
984696,SKU_1554,Wall Clock,16,21-01-24,21.51,12977,Spain,0.39,paypall,8.22,Apparel,In-store,Not Returned,Royal Mail,Paris,Medium
413051,SKU_1802,Wireless Mouse,27,21-01-24,82.35,21043,United States,0.1,Bank Transfer,23.18,Furniture,Online,Not Returned,Royal Mail,Paris,High
534355,SKU_1138,Backpack,37,21-01-24,65.65,11432,Australia,0.06,Bank Transfer,6.61,Electronics,In-store,Not Returned,DHL,London,Medium
708613,SKU_1423,Backpack,-14,21-01-24,-89.94,,Australia,0.19,Bank Transfer,,Electronics,In-store,Not Returned,FedEx,,High
926083,SKU_1252,Notebook,18,21-01-24,76.79,,Belgium,0.48,Bank Transfer,8.54,Electronics,Online,Not Returned,Royal Mail,Berlin,High
812675,SKU_1415,Wall Clock,-38,21-01-24,-8.22,,Belgium,1.4358967712530148,paypall,,Apparel,In-store,Not Returned,DHL,,Low
193435,SKU_1944,Wireless Mouse,-38,21-01-24,-55.88,,United States,1.337737494,paypall,,Accessories,In-store,Not Returned,DHL,,Medium
508874,SKU_1506,T-shirt,12,21-01-24,26.96,54130,France,0.46,paypall,8.49,Accessories,In-store,Returned,FedEx,Berlin,Medium
663195,SKU_1345,Office Chair,41,21-01-24,97.34,17681,United Kingdom,0.13,Credit Card,18.58,Furniture,Online,Not Returned,UPS,London,Medium
310792,SKU_1981,Headphones,29,21-01-24,50.47,24873,Italy,0.29,Bank Transfer,11.35,Furniture,Online,Not Returned,UPS,Amsterdam,Low
688205,SKU_1696,Backpack,-47,21-01-24,-66.82,,Portugal,1.2217138702830126,Bank Transfer,,Furniture,In-store,Not Returned,Royal Mail,,High
524963,SKU_1576,White Mug,12,21-01-24,2.04,,Spain,0.11,Credit Card,16.68,Electronics,In-store,Not Returned,DHL,Berlin,High
358700,SKU_1815,T-shirt,14,21-01-24,63.51,23089,United Kingdom,0.16,paypall,8.19,Stationery,In-store,Not Returned,UPS,London,Low
831389,SKU_1988,Wireless Mouse,3,21-01-24,5.35,86496,Spain,0.1,paypall,23.55,Electronics,Online,Not Returned,Royal Mail,Berlin,Low
