Player_Age,Player_Weight,Player_Height,Previous_Injuries,Training_Intensity,Recovery_Time,Likelihood_of_Injury
30,68.21505,183.48286,1,0.96522,3,1
27,71.94501,182.83324,1,0.21387,5,1
31,69.02619,170.6348,0,0.65425,1,0
35,76.10418,185.79584,0,0.90659,6,0
26,86.97179,165.09917,1,0.46197,3,0
26,67.28958,173.45816,0,0.31684,5,0
35,85.0082,160.00912,1,0.66687,3,1
31,67.18328,195.58627,1,0.03143,1,1
25,66.52373,177.68451,0,0.36016,1,1
30,83.18595,201.66884,0,0.25797,6,0
25,84.21936,188.0295,0,0.22462,2,1
25,83.5141,184.48098,1,0.17976,5,0
29,61.84203,174.13772,0,0.73706,6,1
18,70.34049,169.5365,0,0.9551,1,1
19,83.22989,185.22972,0,0.38477,1,0
25,75.41542,179.28486,0,0.0491,6,1
22,64.26307,166.6073,1,0.71891,1,1
29,79.58318,164.83142,0,0.5382,2,1
23,67.85193,170.41296,1,0.72364,5,0
20,92.94525,198.20967,0,0.6479,3,1
35,90.44841,202.13278,0,0.90544,2,1
26,81.04097,182.04989,1,0.14044,5,0
28,88.61007,181.48943,1,0.16916,1,0
20,75.64791,176.6368,1,0.34157,2,1
25,82.65437,170.65515,0,0.49139,4,0
28,89.7772,193.75179,0,0.92571,4,1
22,77.45499,198.73576,1,0.90696,1,1
29,72.44813,171.06581,1,0.87187,5,0
24,57.95378,179.17162,1,0.22253,5,1
26,74.16866,175.50134,1,0.72968,2,1
24,83.23423,175.79761,0,0.38349,4,1
37,84.45633,191.85908,1,0.93118,5,0
27,80.04365,166.88038,1,0.21454,2,0
22,69.58701,184.6647,0,0.14126,2,0
32,55.23178,187.28238,0,0.84239,4,0
21,70.04785,178.57849,1,0.71691,1,1
29,71.95655,188.93068,0,0.82142,2,0
18,71.87071,181.47652,1,0.15794,1,1
21,81.18556,192.1713,1,0.88479,4,1
28,94.85676,164.77795,1,0.67762,2,1
31,76.23529,176.51225,1,0.65156,3,1
28,72.83268,179.28187,0,0.58258,4,1
27,72.40778,153.27793,0,0.76488,4,0
26,76.24385,169.14047,1,0.41561,3,1
20,66.71706,171.86401,0,0.13282,4,0
24,76.20199,189.48206,0,0.53926,3,1
25,79.50812,172.93157,1,0.7481,3,1
33,77.09686,171.81921,0,0.15365,4,0
29,79.57542,188.17486,0,0.22402,3,1
19,79.33748,163.82089,0,0.69655,3,0
29,57.28103,159.28756,1,0.26965,4,1
26,81.3687,176.38408,0,0.16994,3,1
24,68.28985,165.52293,0,0.88939,1,0
31,64.04161,165.90321,1,0.1609,4,1
33,63.95548,185.73434,0,0.34415,4,1
32,79.33542,188.75974,0,0.42843,1,1
23,72.77425,187.88864,1,0.47614,5,1
26,58.18031,191.08777,0,0.36131,6,0
29,79.78038,192.41134,0,0.91254,2,1
32,60.60392,158.7141,1,0.65863,3,0
25,76.39821,184.50412,0,0.35949,6,0
27,77.38499,174.70392,1,0.35772,3,0
22,83.85577,172.52576,1,0.50295,6,0
22,92.81685,185.60415,0,0.03366,2,1
32,61.35324,162.69705,1,0.92664,3,1
34,74.47526,162.48891,0,0.22331,6,0
27,72.23665,186.33573,0,0.69759,3,1
33,79.3375,184.87786,1,0.77772,1,0
29,77.15669,181.36733,0,0.82738,1,1
24,71.47454,171.20087,1,0.16564,6,1
29,70.59098,187.4383,0,0.53669,1,0
35,63.83549,186.80303,0,0.08367,1,0
27,84.87862,180.85305,1,0.80479,4,0
35,79.59204,168.22679,0,0.48645,3,1
18,84.17768,175.74752,1,0.15849,2,0
32,71.89604,188.37834,1,0.71868,3,1
28,68.43165,193.27191,1,0.33117,4,0
26,64.21685,176.73463,0,0.11451,4,0
28,78.58918,177.50327,1,0.46107,3,0
18,64.60207,178.38311,1,0.23525,6,1
26,93.48663,182.74893,1,0.95022,3,0
29,61.92357,174.18933,1,0.36136,1,0
35,77.7366,151.05815,1,0.57245,4,1
25,90.66855,191.92769,1,0.94836,3,0
23,80.9909,197.94689,1,0.39372,2,1
25,76.75674,173.876,1,0.35813,2,1
32,65.31516,169.33347,0,0.16241,1,0
29,61.18231,178.62899,0,0.9383,1,0
25,82.7005,178.12496,1,0.80074,3,0
30,90.06147,189.95519,1,0.22101,2,1
28,70.6115,180.54639,1,0.33267,6,1
32,63.60938,172.07377,1,0.91491,4,1
24,50.41831,166.81591,1,0.53728,5,1
26,65.19235,188.65634,0,0.55633,2,0
26,73.86343,185.99511,0,0.64814,4,1
20,90.99123,190.6056,0,0.76216,2,1
29,81.73134,170.31813,0,0.93929,3,1
29,78.05085,198.38437,1,0.80223,5,0
28,70.9988,162.56305,1,0.93455,5,0
26,69.16834,187.09601,0,0.82061,3,1
20,89.05648,160.90417,0,0.04643,3,0
25,77.00739,172.09669,0,0.11753,1,0
26,53.97399,195.61023,0,0.88489,4,1
23,68.2646,188.31364,0,0.0277,6,1
27,66.41784,174.5378,0,0.79417,4,0
30,69.53736,174.81163,0,0.84984,1,0
37,80.62911,181.00622,1,0.41546,4,1
28,73.92555,185.14141,0,0.35485,5,0
29,74.23135,192.51579,1,0.1944,2,1
27,88.13473,175.43766,1,0.04892,5,0
18,68.03539,163.88215,0,0.74538,1,0
27,93.642,181.56969,1,0.07373,4,1
28,68.28692,175.42569,1,0.94467,4,0
39,75.89198,166.99366,0,0.29674,2,1
27,72.18796,182.97669,0,0.79424,6,0
29,76.23419,177.86886,1,0.05968,2,0
27,79.44592,183.06512,0,0.53628,2,1
22,79.33835,171.05556,0,0.3491,5,0
33,67.46883,184.86711,0,0.03,1,1
31,63.77085,166.82902,0,0.6558,1,0
